Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Cross Accuracy Rate,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Tackle Success Rate,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Errors Leading To Goal
Gedson Fernandes,Portugal,09/01/1999,182,7,3,1,0,0,0,0,0,0,0,0,1,0,0%,0,0,39,5.57,0,7,29%,0,0,0,0,0,0,2,0%,1,1,0,0,7,6,9,2,0,1,0
Anthony Georgiou,Cyprus,24/02/1997,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Rachid Ghezzal,Algeria,09/05/1992,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,England,27/01/2000,171,7,3,3,0,0,0,0,0,0,0,0,2,0,0%,0,0,79,11.29,0,2,0%,1,2,0,0,2,0,0,0%,0,2,0,0,6,6,6,1,4,2,0
Ethan Hamilton,Scotland,18/10/1998,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kortney Hause,England,16/07/1995,191,18,3,11,1,0,0.06,0,1,0,0,0,20,3,15%,0,3,799,44.39,1,0,0%,1,62,3,0,24,1,21,43%,2,20,94,51,109,138,77,9,100,35,1
Kaine Hayden,England,25/05/2003,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,Ireland,31/01/1992,185,24,10,8,2,2,0.08,0,2,0,0,0,22,6,27%,0,2,545,22.71,2,30,23%,1,18,8,0,17,4,18,56%,8,20,15,7,107,81,108,22,26,17,0
Onel Hernández,Cuba,01/02/1993,172,26,1,19,1,2,0.04,0,1,0,0,0,29,8,28%,1,2,311,11.96,0,26,4%,0,2,0,0,14,8,27,70%,12,19,9,2,75,93,132,42,6,29,0
Ander Herrera,Spain,14/08/1989,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jake Hesketh,England,27/03/1996,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ryan Giles,England,26/01/2000,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Charlie Gilmour,Scotland,11/02/1999,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Paul Glatzel,England,20/02/2001,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Claudio Gomes,France,23/07/2000,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mace Goodridge,England,13/09/1999,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dan Gosling,England,01/02/1990,183,24,5,16,3,1,0.13,0,3,0,0,0,13,6,46%,0,2,520,21.67,2,3,67%,1,17,3,0,21,2,26,38%,4,20,22,8,82,69,100,4,21,28,0
Demarai Gray,England,28/06/1996,180,21,11,6,2,3,0.1,0,2,0,0,0,23,8,35%,0,1,291,13.86,4,31,26%,1,10,1,0,2,3,12,50%,7,5,3,1,35,34,50,10,2,8,0
Jack Grealish,England,10/09/1995,175,36,9,19,8,5,0.22,0,5,3,0,0,73,23,32%,2,5,1371,38.08,8,141,20%,2,81,8,0,34,4,29,66%,18,22,10,4,188,289,182,73,22,27,1
Andre Green,England,26/07/1998,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,Germany,15/06/1991,181,29,7,12,2,4,0.07,0,2,0,0,1,29,9,31%,1,0,899,31,10,146,32%,5,42,4,0,23,8,36,36%,9,9,7,2,83,73,104,6,18,29,0
Marko Grujic,Serbia,13/04/1996,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jóhann Gudmundsson,Iceland,27/10/1990,186,12,3,5,1,1,0.08,0,0,1,0,0,10,2,20%,1,1,160,13.33,1,35,46%,0,8,0,0,9,1,4,50%,2,7,6,5,31,20,36,5,7,14,0
Matteo Guendouzi,France,14/04/1999,185,24,7,7,0,1,0,0,0,0,0,0,11,5,45%,1,1,1152,48,1,6,17%,7,70,6,0,17,0,31,52%,5,29,34,16,117,116,102,24,13,16,0
Ilkay Gündogan,Germany,24/10/1990,180,31,20,8,2,1,0.06,0,2,0,1,0,33,8,24%,1,5,1953,63,3,30,30%,7,106,7,0,16,2,27,59%,14,31,13,6,137,70,80,18,11,15,0
Peter Gwargis,Sweden,04/09/2000,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sead Haksabanovic,Montenegro,04/05/1999,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nathan Holland,England,19/06/1998,178,2,0,2,0,0,0,0,0,0,0,0,1,1,100%,0,0,11,5.5,0,2,0%,0,0,0,0,0,0,3,33%,0,0,0,0,1,7,2,3,0,1,0
Nathaniel Shio Hong Wan,England,17/08/2000,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Conor Hourihane,Ireland,02/02/1991,180,27,7,13,3,5,0.11,0,0,3,0,1,29,10,34%,1,1,612,22.67,8,112,25%,1,20,4,0,14,4,16,63%,13,9,26,9,72,53,48,4,13,9,0
Will Hughes,England,17/04/1995,185,30,6,17,1,1,0.03,0,1,0,0,0,27,3,11%,0,1,840,28,2,69,29%,1,11,9,0,53,1,75,63%,10,37,26,13,127,170,166,24,25,32,0
Joseph Hungbo,England,15/01/2000,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Emerson Hyndman,United States,09/04/1996,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile Højbjerg,Denmark,05/08/1995,185,33,12,15,0,1,0,0,0,0,0,0,46,11,24%,0,5,1823,55.24,0,27,33%,4,106,5,0,46,1,80,61%,10,46,49,23,326,210,178,40,55,43,0
Jordon Ibe,England,08/12/1995,176,2,0,2,0,0,0,0,0,0,0,0,0,0,0%,0,0,17,8.5,0,3,33%,0,0,0,0,0,0,2,100%,0,0,1,0,6,5,2,1,0,0,0
Vicente Iborra,Spain,16/01/1988,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Idrissa Gueye,Senegal,26/09/1989,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Iker Pozo,Spain,06/08/2000,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Alexandre Jankewitz,Switzerland,25/12/2001,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mile Jedinak,Australia,03/08/1984,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Teddy Jenks,England,12/03/2002,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
João Moutinho,Portugal,08/09/1986,170,38,15,9,1,6,0.03,0,1,0,0,1,22,6,27%,0,0,1839,48.39,9,221,30%,5,152,7,0,40,3,93,54%,5,50,17,6,248,152,183,15,21,26,0
Jonathan Williams,Wales,09/10/1993,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,England,30/01/2001,185,6,5,0,1,0,0.17,0,1,0,0,0,6,2,33%,0,0,123,20.5,0,0,0%,0,3,0,0,3,0,4,100%,1,2,0,0,14,9,12,3,2,3,0
Jorginho,Italy,20/12/1991,180,31,15,10,4,2,0.13,0,4,0,3,0,12,4,33%,0,0,2257,72.81,6,10,10%,16,132,10,0,27,0,66,61%,4,64,26,7,247,123,151,13,14,39,0
Jota,Spain,16/06/1991,180,10,2,7,0,1,0,0,0,0,0,0,6,1,17%,0,0,93,9.3,1,2,0%,2,6,0,0,6,0,3,33%,4,3,5,1,26,13,25,7,1,2,0
Sullay Kaikai,England,26/08/1995,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Herbie Kane,England,23/11/1998,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
N'Golo Kanté,France,29/03/1991,168,22,8,10,3,0,0.14,0,2,1,0,0,18,6,33%,0,1,1134,51.55,1,26,42%,0,40,4,0,45,0,44,45%,6,44,31,10,158,96,138,24,19,32,2
Bartosz Kapustka,Poland,23/12/1996,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Beram Kayal,Israel,02/05/1988,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Naby Keita,Guinea,10/02/1995,172,18,13,2,2,3,0.11,0,2,0,0,0,12,7,58%,0,1,678,37.67,5,7,0%,5,15,1,0,9,1,30,47%,2,10,2,1,82,72,44,23,9,10,0
Daniel Kemp,England,11/01/1999,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ki Sung-Yueng,South Korea,24/01/1989,189,3,0,2,0,0,0,0,0,0,0,0,0,0,0%,0,0,66,22,0,5,80%,0,3,0,0,1,0,1,100%,0,3,2,2,4,8,5,2,2,0,0
Gavin Kilkenny,Ireland,01/02/2000,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nya Kirby,England,31/01/2000,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Christoph Klarer,Austria,14/06/2000,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Anthony Knockaert,France,20/11/1991,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,Senegal,21/12/1989,189,35,11,15,1,1,0.03,0,1,0,0,0,24,4,17%,0,1,851,24.31,1,17,12%,1,23,4,0,33,2,67,48%,4,43,55,32,139,201,163,17,91,70,0
Mateo Kovacic,Croatia,06/05/1994,178,31,16,9,1,3,0.03,0,1,0,0,0,21,5,24%,0,0,1868,60.26,3,8,13%,10,93,8,0,20,0,63,60%,9,22,16,7,174,186,115,77,8,17,0
Adam Lallana,England,10/05/1988,172,15,13,1,1,1,0.07,0,1,0,0,0,5,1,20%,1,0,266,17.73,1,3,0%,1,4,1,0,7,1,19,47%,2,5,2,1,31,33,42,2,4,14,0
Erik Lamela,Argentina,04/03/1992,181,25,10,7,2,1,0.08,0,0,2,0,0,29,10,34%,0,1,541,21.64,0,49,14%,2,17,3,0,30,1,24,83%,10,8,9,5,74,86,123,30,6,18,0
Henri Lansbury,England,12/10/1990,183,10,3,6,0,0,0,0,0,0,0,0,2,0,0%,0,0,82,8.2,0,1,0%,0,7,0,0,4,0,6,33%,0,0,2,0,10,9,15,0,2,6,0
Manuel Lanzini,Argentina,15/02/1993,167,24,4,12,0,2,0,0,0,0,0,0,23,7,30%,0,3,756,31.5,2,43,35%,5,25,1,0,6,4,14,64%,8,10,3,2,81,79,82,33,6,15,0
Achraf Lazaar,Morocco,22/01/1992,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Valentino Lazaro,Austria,24/03/1996,180,13,3,6,1,0,0.08,0,0,1,0,0,4,1,25%,1,0,170,13.08,0,13,31%,0,8,0,1,3,0,13,69%,1,3,3,1,27,25,27,8,2,6,0
Adam Leathers,England,14/11/2001,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Moritz Leitner,Germany,08/12/1992,174,9,1,7,0,0,0,0,0,0,0,0,8,0,0%,2,0,563,62.56,0,5,20%,1,19,1,0,8,0,16,56%,2,9,8,2,56,38,36,7,5,4,0
Mario Lemina,Gabon,01/09/1993,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Aaron Lennon,England,16/04/1987,165,16,6,7,0,0,0,0,0,0,0,0,1,0,0%,0,0,118,7.38,0,8,13%,0,2,4,0,10,0,14,57%,0,8,3,0,24,26,29,3,2,9,0
Jefferson Lerma,Colombia,25/10/1994,179,33,9,18,1,2,0.03,1,0,0,0,0,30,2,7%,1,0,1398,42.36,2,6,0%,0,96,11,1,42,1,54,59%,9,57,51,29,270,173,144,26,57,51,0
Thakgalo Leshabela,South Africa,18/09/1999,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dylan Levitt,Wales,17/11/2000,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Adam Lewis,England,08/11/1999,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lewis Cook,England,03/02/1997,175,27,6,17,0,0,0,0,0,0,0,0,9,2,22%,0,0,720,26.67,0,8,13%,5,42,5,0,23,0,27,52%,4,17,15,8,109,74,107,24,12,14,0
Jesse Lingard,England,15/12/1992,175,22,9,6,1,0,0.05,0,0,1,0,0,22,6,27%,0,2,391,17.77,1,7,0%,4,4,3,0,28,0,15,53%,10,3,0,0,37,41,72,13,2,12,0
Giovani Lo Celso,Argentina,09/04/1996,177,28,10,8,0,2,0,0,0,0,0,0,18,3,17%,0,1,965,34.46,1,57,21%,8,42,6,0,28,0,51,57%,6,9,17,8,123,136,145,32,8,22,0
Ruben Loftus-Cheek,England,23/01/1996,191,7,5,2,0,1,0,0,0,0,0,0,4,0,0%,0,1,132,18.86,1,1,0%,1,5,0,0,2,0,0,0%,0,2,2,1,13,9,11,4,2,3,0
George Marsh,England,05/11/1998,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ben Marshall,England,29/03/1991,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ntumba Massanka,England,30/11/1996,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Juan Mata,Spain,28/04/1988,170,19,6,7,0,2,0,0,0,0,0,0,10,2,20%,0,1,511,26.89,3,23,30%,4,21,1,0,7,4,7,43%,2,0,1,0,33,24,32,5,2,6,0
Nemanja Matic,Serbia,01/08/1988,194,21,12,4,0,2,0,0,0,0,0,0,7,2,29%,1,0,1265,60.24,0,3,67%,2,46,3,0,27,0,46,52%,2,22,26,16,146,110,93,20,29,23,0
Matthew Longstaff,England,21/03/2000,170,9,2,4,2,0,0.22,0,2,0,0,0,4,2,50%,1,0,255,28.33,1,2,50%,1,10,1,0,6,0,3,33%,1,5,3,1,38,17,29,3,6,5,0
Matthew Smith,England,05/10/2000,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James McArthur,Scotland,07/10/1987,178,37,11,16,0,3,0,0,0,0,0,0,28,6,21%,0,2,1428,38.59,3,44,16%,4,62,6,0,57,4,88,58%,8,60,47,17,185,195,250,29,45,75,0
James McCarthy,Ireland,12/11/1990,180,33,9,15,0,0,0,0,0,0,0,0,12,3,25%,0,0,783,23.73,1,35,31%,0,53,9,0,31,0,82,57%,3,24,10,1,133,122,98,7,15,19,0
George McEachran,England,30/08/2000,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
John McGinn,Scotland,18/10/1994,178,28,6,15,3,3,0.11,0,0,3,0,0,55,20,36%,2,4,715,25.54,3,66,21%,3,82,3,0,37,0,53,66%,12,25,15,6,151,191,177,53,19,31,0
Giovanni McGregor,England,09/01/1999,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luis Longstaff,England,24/02/2001,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lucas Piazon,Brazil,20/01/1994,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
John Lundstram,England,18/02/1994,181,34,12,11,5,3,0.15,0,4,1,0,0,43,10,23%,1,4,1176,34.59,8,55,18%,3,86,5,0,27,7,46,65%,10,33,43,22,157,99,136,18,24,33,0
Alexis Mac Allister,Argentina,24/12/1998,174,9,3,2,0,0,0,0,0,0,0,0,7,1,14%,0,1,98,10.89,0,23,13%,0,2,0,0,4,1,9,56%,3,1,1,0,15,17,22,2,3,5,0
James Maddison,England,23/11/1996,175,31,15,9,6,3,0.19,0,4,2,0,1,74,18,24%,1,6,1473,47.52,8,221,27%,19,72,4,0,36,4,59,51%,30,9,5,1,162,205,162,51,7,24,0
Jacob Maddox,England,03/11/1998,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Connor Mahoney,England,12/02/1997,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,England,29/08/1997,177,20,9,4,0,2,0,0,0,0,0,0,4,1,25%,0,1,840,42,2,18,33%,2,35,4,1,15,0,41,56%,1,28,32,12,86,90,81,19,17,12,0
Solly March,England,20/07/1994,180,19,3,8,0,1,0,0,0,0,0,0,21,8,38%,0,1,492,25.89,1,67,19%,1,25,2,0,10,2,25,48%,6,20,10,5,63,67,82,16,15,20,0
Kenny McLean,Scotland,08/01/1992,183,37,4,27,1,1,0.03,1,0,0,0,0,30,10,33%,2,0,1680,45.41,5,53,21%,9,81,5,0,24,1,44,66%,7,38,64,47,191,225,197,31,96,96,1
Dwight McNeil,England,22/11/1999,183,38,15,14,2,6,0.05,0,0,2,0,0,48,14,29%,2,1,1029,27.08,12,257,,,,5,0,29,0,47,,16,30,27,11,,,,,,,
Sam McQueen,England,06/02/1995,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Scott McTominay,Scotland,08/12/1996,193,27,14,5,4,1,0.15,0,3,1,0,0,29,10,34%,0,1,1011,37.44,2,14,21%,2,62,2,0,36,0,43,51%,12,31,33,20,147,170,124,31,44,31,1
Nampalys Mendy,France,23/06/1992,167,7,4,2,0,0,0,0,0,0,0,0,1,1,100%,0,0,209,29.86,0,2,100%,0,10,0,0,4,0,7,71%,0,6,4,2,32,21,10,1,5,2,0
Max Meyer,Germany,18/09/1995,173,17,2,10,0,0,0,0,0,0,0,0,9,2,22%,0,0,201,11.82,0,9,11%,0,3,1,0,6,2,19,58%,2,7,2,0,27,43,47,6,2,9,0
Luka Milivojevic,Serbia,07/04/1991,186,31,8,15,3,1,0.1,0,3,0,2,1,31,9,29%,0,0,1433,46.23,1,144,22%,3,104,12,0,50,1,61,52%,10,42,37,14,179,128,144,7,35,28,0
James Milner,England,04/01/1986,175,22,21,0,2,2,0.09,0,2,0,2,0,12,4,33%,0,1,747,33.95,1,20,10%,3,49,4,0,11,1,16,63%,2,7,16,7,63,51,50,10,13,13,0
Mix Diskerud,United States,02/10/1990,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Henrikh Mkhitaryan,Armenia,21/01/1989,177,3,1,1,0,0,0,0,0,0,0,0,2,0,0%,0,1,69,23,0,4,0%,1,1,1,0,2,1,0,0%,1,0,1,1,4,6,13,2,2,1,0
Mohamed Elneny,Egypt,11/07/1992,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,Ireland,06/08/1999,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Aaron Mooy,Australia,15/09/1990,174,31,6,11,2,2,0.06,0,1,1,0,0,33,8,24%,0,3,970,31.29,4,109,21%,4,43,1,1,13,0,37,65%,8,23,27,10,134,101,132,38,15,25,0
Ravel Morrison,Jamaica,02/02/1993,175,1,0,1,0,0,0,0,0,0,0,0,1,0,0%,0,0,6,6,0,0,0%,0,0,0,0,1,0,0,0%,0,0,0,0,0,0,2,0,0,0,0
Victor Moses,Nigeria,12/12/1990,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mason Mount,England,10/01/1999,178,37,19,12,7,5,0.19,0,7,0,0,1,78,29,37%,3,9,1241,33.54,8,136,24%,3,26,3,0,37,4,37,46%,28,16,18,7,141,125,199,40,10,47,0
Jacob Murphy,England,24/02/1995,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jordon Mutch,England,02/12/1991,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Marvelous Nakamba,Zimbabwe,19/01/1994,178,29,7,16,0,0,0,0,0,0,0,0,7,1,14%,0,0,782,26.97,0,4,0%,0,24,5,0,26,0,55,51%,0,39,32,7,155,115,110,14,23,29,1
Samir Nasri,France,26/06/1987,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Wilfred Ndidi,Nigeria,16/12/1996,183,32,17,9,2,1,0.06,1,1,0,0,0,26,3,12%,1,0,1669,52.16,0,3,0%,2,79,6,0,56,1,128,52%,7,80,61,25,271,260,203,22,83,69,1
Tanguy Ndombele,France,28/12/1996,181,21,5,9,2,2,0.1,0,1,1,0,0,9,4,44%,0,0,632,30.1,1,12,17%,4,19,3,0,14,0,24,67%,3,14,6,1,79,97,70,38,7,9,0
Georges-Kévin Nkoudou,France,13/02/1995,172,1,1,0,0,0,0,0,0,0,0,0,1,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,1,0,0,0,0,0,1,0,0,0,0
Felix Nmecha,England,10/10/2000,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mark Noble,England,08/05/1987,180,33,9,16,4,3,0.12,0,4,0,3,0,17,6,35%,0,0,1504,45.58,5,41,32%,4,111,5,0,28,1,52,58%,3,20,10,8,189,123,121,25,15,12,0
Kornelius Normann Hansen,Norway,06/05/2001,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Oliver Norwood,Northern Ireland,12/04/1991,180,38,14,12,1,1,0.03,0,1,0,1,0,17,6,35%,0,0,2007,52.82,6,198,27%,1,231,8,0,32,1,66,56%,5,47,39,19,275,135,134,9,44,30,0
Thomas O'Connor,Ireland,21/04/1999,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Callum O'Hare,England,01/05/1998,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
