Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Goal,Assist,Goal Conceded,Tackle,Tackle Success Rate,Last Man Tackle,Blocked Shots,Interceptions,Clearances,Headed Clearance,Clearances Off Line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Own Goals,Errors Leading To Goal,Passes,Passes Per Match,Big Chances Created,Crosses,Cross Accuracy %,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Headed Goals,Goals With Right Foot,Goals With Left Foot,Hit Woodwork
James Tarkowski,England,19/11/1992,185,38,15,14,15,2,2,50,66,65%,1,6,63,200,111,0,180,307,145,13,198,74,0,0,1350,35.53,6,4,0%,0,105,10,0,49,3,0,1,1,0
Neil Taylor,Wales,07/02/1989,176,14,3,9,2,0,0,25,16,69%,1,1,20,27,8,0,56,33,34,2,9,15,0,0,419,29.93,1,9,11%,0,15,2,0,8,0,0,0,0,0
Kieran Tierney,Scotland,05/06/1997,178,15,6,5,1,1,1,16,20,80%,0,1,9,30,10,0,60,53,35,12,9,15,0,0,441,29.4,1,44,18%,0,18,2,0,8,0,0,0,1,0
James Tomkins,England,29/03/1989,192,18,3,8,3,1,1,23,29,59%,0,0,21,99,42,0,82,100,53,1,60,32,0,0,671,37.28,0,1,0%,1,46,5,0,14,1,1,0,0,0
Fikayo Tomori,England,19/12/1997,185,15,9,4,4,1,0,18,29,55%,1,1,22,42,19,0,95,78,47,9,34,28,0,0,1151,76.73,0,4,25%,3,42,3,0,7,1,0,1,0,0
Axel Tuanzebe,England,14/11/1997,182,5,2,1,0,0,0,3,2,100%,0,0,5,4,3,0,15,8,20,0,3,12,0,1,136,27.2,0,1,0%,0,4,0,0,3,0,0,0,0,0
Çaglar Söyüncü,Turkey,23/05/1996,185,34,16,10,12,1,1,33,60,67%,0,0,43,151,73,1,195,202,117,17,109,64,0,0,2319,68.21,1,4,0%,0,111,4,1,30,1,1,0,0,0
Jack Stacey,England,06/04/1996,180,19,4,11,1,0,2,27,21,52%,0,0,18,54,34,0,88,74,62,16,27,20,0,0,601,31.63,4,36,11%,1,28,2,0,10,1,0,0,0,0
Steve Cook,England,19/04/1991,185,29,6,17,3,1,0,47,22,50%,1,4,44,151,76,1,112,153,93,3,115,66,0,0,1271,43.83,1,1,0%,0,78,6,1,16,1,1,0,0,1
Enda Stevens,Ireland,09/07/1990,183,38,14,12,12,2,4,39,81,57%,0,7,35,59,22,0,226,192,186,61,31,32,0,2,1469,38.66,9,123,16%,2,70,7,0,39,2,1,0,1,0
John Stones,England,28/05/1994,188,16,11,3,3,0,0,16,16,63%,0,1,9,31,16,0,69,66,30,5,44,24,0,0,1035,64.69,0,0,0%,0,52,0,0,5,1,0,0,0,0
Japhet Tanganga,England,31/03/1999,184,6,1,3,2,0,0,7,17,53%,0,1,11,29,21,1,27,45,32,6,18,11,0,1,201,33.5,0,2,0%,0,6,1,0,8,0,0,0,0,0
Matt Targett,England,18/09/1995,183,28,7,14,4,1,2,40,52,56%,0,1,56,68,31,0,122,113,121,8,37,38,0,0,947,33.82,8,81,27%,3,49,4,0,27,0,0,0,1,0
Yan Valery,France,22/02/1999,180,11,3,7,0,0,0,20,20,35%,0,1,13,29,10,0,45,62,64,14,20,17,0,2,222,20.18,2,11,18%,1,6,1,0,7,3,0,0,0,0
Jesús Vallejo,Spain,05/01/1997,184,2,0,1,0,0,0,6,1,100%,0,0,2,7,2,0,11,8,7,1,5,3,0,0,118,59.0,0,1,100%,0,8,1,0,2,0,0,0,0,0
Patrick van Aanholt,Netherlands,29/08/1990,176,29,11,15,8,3,2,38,43,53%,0,9,45,44,22,1,176,83,88,16,17,16,1,0,1216,41.93,5,92,34%,2,30,0,0,9,2,0,0,3,1
Virgil van Dijk,Netherlands,08/07/1991,193,38,32,3,15,5,1,33,23,52%,2,5,40,162,83,1,220,239,81,3,191,60,0,1,3259,85.76,2,0,0%,7,205,1,0,16,1,5,0,0,1
Jan Vertonghen,Belgium,24/04/1987,189,23,10,7,4,1,1,24,40,60%,0,1,33,66,32,0,108,121,52,5,59,25,0,0,1101,47.87,2,19,5%,0,40,2,0,7,0,1,0,0,0
Jannik Vestergaard,Denmark,03/08/1992,199,19,6,10,4,1,0,26,19,63%,0,2,26,97,50,0,80,112,58,3,81,29,0,0,822,43.26,1,1,100%,0,42,3,0,9,0,1,0,0,1
Jake Vokins,England,17/03/2000,180,1,0,0,0,0,0,1,2,100%,0,0,0,1,0,0,1,3,2,0,0,0,0,0,58,58.0,0,1,0%,0,3,0,0,0,0,0,0,0,0
Kyle Walker,England,28/05/1990,178,29,20,7,10,1,4,24,28,64%,0,5,28,35,15,1,144,96,99,23,30,33,0,0,1939,66.86,1,54,19%,1,125,5,0,27,3,0,0,1,0
Kyle Walker-Peters,England,13/04/1997,173,13,6,3,2,0,0,12,21,62%,0,2,17,22,10,0,75,77,53,22,9,19,0,0,532,40.92,2,19,5%,0,14,1,0,7,2,0,0,0,0
Aaron Wan-Bissaka,England,26/11/1997,183,35,17,7,11,0,4,33,129,62%,0,2,66,58,26,0,179,226,148,54,24,35,0,0,1651,47.17,4,103,14%,2,33,8,0,21,1,0,0,0,0
Kelland Watts,England,03/11/1999,193,1,0,1,0,0,0,1,1,0%,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3.0,0,0,0%,0,0,0,0,0,0,0,0,0,0
Adam Webster,England,04/01/1995,191,31,7,12,5,3,1,44,30,57%,0,3,45,107,53,0,177,170,104,14,111,65,1,1,1880,60.65,2,6,33%,1,114,4,0,13,0,2,1,0,0
Jetro Willems,Netherlands,30/03/1994,169,19,6,8,2,2,2,24,37,51%,0,5,17,38,22,0,95,97,65,21,22,16,0,0,429,22.58,2,32,16%,1,9,0,0,10,1,0,2,0,0
DeAndre Yedlin,United States,09/07/1993,172,16,6,8,1,1,0,18,18,72%,0,0,10,16,6,1,38,36,39,1,8,13,0,0,246,15.38,0,28,21%,0,13,3,0,8,2,1,0,0,0
Maya Yoshida,Japan,24/08/1988,189,8,2,4,1,0,0,18,8,63%,0,0,4,25,14,0,33,27,16,1,14,7,0,0,267,33.38,0,0,0%,0,15,1,0,3,0,0,0,0,0
Ashley Young,England,09/07/1985,175,12,5,4,2,0,0,10,14,50%,0,0,11,22,12,0,59,50,47,7,14,7,0,0,571,47.58,2,62,35%,0,27,5,0,14,0,0,0,0,0
Pablo Zabaleta,Argentina,16/01/1985,176,10,1,6,0,0,0,14,18,56%,0,0,14,16,9,0,27,37,28,2,8,12,0,0,249,24.9,1,16,6%,0,6,2,0,7,0,0,0,0,0
Christoph Zimmermann,Germany,12/01/1993,194,17,2,10,3,0,1,27,32,66%,1,1,19,87,52,0,79,73,44,5,27,22,0,0,661,38.88,0,0,0%,0,46,3,0,9,0,0,0,0,0
Kurt Zouma,France,27/10/1994,190,28,15,10,7,0,0,37,23,61%,3,1,58,112,60,0,150,150,80,8,106,38,1,0,2080,74.29,0,0,0%,0,139,6,0,30,1,0,0,0,0
